Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
NISSAN,Pathfinder Rock Creek Edition,3.5L V6,3498.0,284.0,195.0,7.2,44000.0,petrol,7.0,351.0
NISSAN,Terrano II,2.7L Inline-4 Diesel,2664.0,125.0,160.0,12.9,28000.0,diesel,5.0,278.0
NISSAN,Murano CrossCabriolet,3.5L V6,3498.0,260.0,195.0,7.6,47000.0,petrol,4.0,325.0
NISSAN,X-Trail Tekna,1.5L Turbo Hybrid,1497.0,204.0,190.0,8.0,43000.0,hybrid,5.0,305.0
NISSAN,GT-R LM NISMO,3.0L Twin-Turbo V6 Hybrid,3000.0,500.0,320.0,3.0,600000.0,hybrid,2.0,650.0
NISSAN,Skyline 400R,3.0L Twin-Turbo V6,2997.0,400.0,250.0,4.5,70000.0,petrol,5.0,475.0
NISSAN,Infiniti G37*,3.7L V6,3696.0,328.0,250.0,5.5,42000.0,petrol,5.0,365.0
NISSAN,Patrol Black Edition,5.6L V8,5552.0,400.0,200.0,6.5,85000.0,petrol,7.0,560.0
NISSAN,Ariya Empower+,Dual Electric Motors,87.0,389.0,200.0,5.1,68000.0,electric,5.0,600.0
NISSAN,Datsun 510 (Classic),1.6L Inline-4,1595.0,96.0,175.0,10.2,25000.0,petrol,4.0,135.0
NISSAN,200SX,2.0L Turbo Inline-4,1998.0,200.0,240.0,7.2,30000.0,petrol,4.0,265.0
NISSAN,300ZX,3.0L Twin-Turbo V6,2960.0,300.0,250.0,5.9,50000.0,petrol,4.0,384.0
NISSAN,R390 GT1 Road Car,3.5L Twin-Turbo V8,3495.0,550.0,354.0,3.3,1000000.0,petrol,2.0,637.0
NISSAN,Figaro,1.0L Turbo Inline-4,987.0,76.0,170.0,12.8,20000.0,petrol,4.0,103.0
NISSAN,Hardbody Truck,2.4L Inline-4,2389.0,134.0,160.0,10.6,25000.0,petrol,5.0,206.0
NISSAN,Atlas,3.0L Inline-4 Diesel,2999.0,130.0,130.0,18.0,35000.0,diesel,3.0,300.0
NISSAN,Clipper,660cc Inline-3,659.0,48.0,110.0,18.5,10000.0,petrol,4.0,62.0
NISSAN,NV200,2.0L Inline-4,1998.0,131.0,140.0,14.0,28000.0,petrol,7.0,188.0
NISSAN,Violet,1.8L Inline-4,1770.0,85.0,155.0,13.8,18000.0,petrol,5.0,130.0
NISSAN,Bluebird Z,2.0L Inline-4,1998.0,140.0,190.0,11.0,23000.0,petrol,5.0,180.0
NISSAN,Stanza Wagon,2.4L Inline-4,2389.0,138.0,160.0,12.0,22000.0,petrol,7.0,205.0
NISSAN,180SX,2.0L Turbo Inline-4,1998.0,205.0,240.0,6.8,35000.0,petrol,4.0,275.0
NISSAN,Sunny California,1.6L Inline-4,1597.0,110.0,170.0,11.0,18000.0,petrol,5.0,140.0
NISSAN,Patrol Warrior,5.6L V8,5552.0,428.0,205.0,6.3,95000.0,petrol,7.0,580.0
NISSAN,Pathfinder Armada Platinum,5.6L V8,5552.0,400.0,190.0,6.8,70000.0,petrol,7.0,560.0
NISSAN,Rogue Sport SL,2.0L Inline-4,1998.0,141.0,190.0,9.0,32000.0,petrol,5.0,195.0
NISSAN,X-Trail Platinum Edition,1.5L Turbo Hybrid,1497.0,204.0,190.0,8.0,46000.0,hybrid,5.0,305.0
NISSAN,Qashqai e-Power,1.5L Hybrid,1497.0,187.0,200.0,7.5,40000.0,hybrid,5.0,330.0
NISSAN,GT-R Egoist,3.8L Twin-Turbo V6,3799.0,565.0,315.0,2.8,220000.0,petrol,2.0,637.0
NISSAN,Infiniti M45*,4.5L V8,4494.0,325.0,250.0,5.8,50000.0,petrol,5.0,451.0
NISSAN,Skyline 50th Anniversary,3.0L Twin-Turbo V6,2997.0,400.0,250.0,4.5,75000.0,petrol,5.0,475.0
NISSAN,Ariya Dual Motor AWD,Dual Electric Motors,87.0,389.0,200.0,5.1,70000.0,electric,5.0,600.0
NISSAN,Patrol Legend Edition,5.6L V8,5552.0,428.0,205.0,6.3,95000.0,petrol,7.0,580.0
NISSAN,Datsun 240Z (Classic),2.4L Inline-6,2393.0,151.0,210.0,8.0,45000.0,petrol,2.0,198.0
NISSAN,100NX,1.6L Inline-4,1597.0,110.0,185.0,9.6,18000.0,petrol,4.0,135.0
NISSAN,Cedric Special Edition,3.0L V6,2960.0,250.0,225.0,8.5,60000.0,petrol,5.0,330.0
NISSAN,300ZX Turbo,3.0L Twin-Turbo V6,2960.0,300.0,250.0,5.9,55000.0,petrol,4.0,384.0
NISSAN,Silvia S15 Spec-R,2.0L Turbo Inline-4,1998.0,250.0,240.0,5.6,35000.0,petrol,4.0,300.0
NISSAN,NV400,2.3L Inline-4 Diesel,2298.0,135.0,150.0,15.0,40000.0,diesel,3.0,360.0
NISSAN,Titan Warrior,5.6L V8,5552.0,400.0,180.0,7.0,55000.0,petrol,5.0,560.0
NISSAN,Caravan Coach,2.5L Inline-4 Diesel,2498.0,127.0,140.0,14.0,30000.0,diesel,7.0,260.0
NISSAN,Serena e-Power,1.2L Hybrid,1198.0,134.0,160.0,12.0,35000.0,hybrid,7.0,320.0
NISSAN,Elgrand,3.5L V6,3498.0,280.0,200.0,8.5,50000.0,petrol,7.0,344.0
NISSAN,Datsun 510,1.6L Inline-4,1595.0,96.0,175.0,10.2,25000.0,petrol,4.0,135.0
NISSAN,Prairie,2.0L Inline-4,1998.0,120.0,175.0,11.0,18000.0,petrol,5.0,170.0
NISSAN,Pulsar GTI-R,2.0L Turbo Inline-4,1998.0,230.0,225.0,6.0,30000.0,petrol,5.0,280.0
NISSAN,Almera Tino,1.8L Inline-4,1769.0,114.0,180.0,12.5,15000.0,petrol,5.0,160.0
NISSAN,Lucino,1.6L Inline-4,1597.0,115.0,185.0,10.5,12000.0,petrol,5.0,150.0
NISSAN,Rasheen,1.5L Inline-4,1497.0,105.0,165.0,13.0,10000.0,petrol,5.0,135.0
NISSAN,Mistral,2.7L Turbo Diesel,2663.0,125.0,160.0,12.5,25000.0,diesel,7.0,260.0
NISSAN,Patrol Y60,4.2L Inline-6,4169.0,155.0,160.0,12.0,45000.0,diesel,7.0,330.0
NISSAN,X-Trail GT,2.0L Turbo Inline-4,1998.0,280.0,215.0,6.4,38000.0,petrol,5.0,310.0
NISSAN,Terrano Regulus,3.3L V6,3275.0,170.0,175.0,10.0,28000.0,petrol,5.0,290.0
NISSAN,President,4.5L V8,4494.0,280.0,210.0,7.5,70000.0,petrol,5.0,400.0
NISSAN,Cima,4.1L V8,4130.0,270.0,210.0,8.0,60000.0,petrol,5.0,390.0
NISSAN,Leopard J. Ferie,3.0L V6 Turbo,2960.0,255.0,215.0,6.5,45000.0,petrol,5.0,340.0
NISSAN,Gloria Gran Turismo,3.0L V6 Turbo,2960.0,255.0,220.0,6.5,50000.0,petrol,5.0,340.0
NISSAN,Infiniti Q45*,4.5L V8,4494.0,340.0,240.0,6.2,50000.0,petrol,5.0,450.0
NISSAN,Datsun 240Z,2.4L Inline-6,2393.0,151.0,210.0,8.0,45000.0,petrol,2.0,198.0
NISSAN,280ZX,2.8L Inline-6,2753.0,145.0,205.0,9.5,35000.0,petrol,2.0,210.0
NISSAN,Silvia S13,1.8L Turbo Inline-4,1809.0,175.0,215.0,6.8,20000.0,petrol,4.0,230.0
NISSAN,200SX,2.0L Turbo Inline-4,1998.0,200.0,225.0,7.0,25000.0,petrol,4.0,260.0
NISSAN,NX Coupe,1.8L Inline-4,1839.0,140.0,200.0,9.0,18000.0,petrol,4.0,180.0
NISSAN,NV2500,4.0L V6,3954.0,261.0,160.0,10.0,36000.0,petrol,2.0,385.0
NISSAN,NV3500,5.6L V8,5552.0,375.0,170.0,9.0,42000.0,petrol,2.0,525.0
NISSAN,NT400 Cabstar,3.0L Inline-4 Diesel,2953.0,150.0,140.0,15.0,35000.0,diesel,3.0,350.0
PORSCHE,Panamera,2.9L V6 Twin Turbo,2894.0,330.0,270.0,5.6,88000.0,petrol,4.0,450.0
PORSCHE,Panamera 4,2.9L V6 Twin Turbo,2894.0,330.0,270.0,5.4,92000.0,petrol,4.0,450.0
PORSCHE,Panamera 4S,2.9L V6 Twin Turbo,2894.0,440.0,289.0,4.4,105000.0,petrol,4.0,550.0
PORSCHE,Panamera Turbo S,4.0L V8 Twin Turbo,3996.0,620.0,315.0,3.1,180000.0,petrol,4.0,820.0
PORSCHE,Panamera GTS,4.0L V8 Twin Turbo,3996.0,473.0,300.0,3.9,130000.0,petrol,4.0,620.0
PORSCHE,Panamera Platinum Edition,2.9L V6 Twin Turbo,2894.0,330.0,270.0,5.4,102000.0,petrol,4.0,450.0
PORSCHE,Panamera E-Hybrid,2.9L V6 + Electric Motor,17.9,455.0,280.0,4.4,115000.0,hybrid,4.0,700.0
PORSCHE,Panamera 4 E-Hybrid Sport Turismo,2.9L V6 + Electric Motor,17.9,455.0,280.0,4.4,120000.0,hybrid,4.0,700.0
PORSCHE,Panamera Turbo S E-Hybrid,4.0L V8 + Electric Motor,17.9,690.0,315.0,3.2,190000.0,hybrid,4.0,870.0
PORSCHE,Panamera 4 Executive,2.9L V6 Twin Turbo,2894.0,330.0,270.0,5.6,95000.0,petrol,4.0,450.0
PORSCHE,Cayenne,3.0L V6 Turbo,2995.0,335.0,245.0,5.9,80000.0,petrol,5.0,450.0
PORSCHE,Cayenne Coupe,3.0L V6 Turbo,2995.0,335.0,245.0,6.0,85000.0,petrol,5.0,450.0
PORSCHE,Cayenne S,2.9L V6 Twin Turbo,2894.0,434.0,265.0,5.0,95000.0,petrol,5.0,550.0
PORSCHE,Cayenne Turbo,4.0L V8 Twin Turbo,3996.0,541.0,286.0,4.0,130000.0,petrol,5.0,770.0
PORSCHE,Cayenne GTS,4.0L V8 Twin Turbo,3996.0,453.0,270.0,4.5,110000.0,petrol,5.0,620.0
PORSCHE,Cayenne Turbo S E-Hybrid,4.0L V8 + Electric Motor,17.9,670.0,295.0,3.6,170000.0,hybrid,5.0,900.0
PORSCHE,Macan,2.0L I4 Turbo,1984.0,261.0,232.0,6.2,60000.0,petrol,5.0,400.0
PORSCHE,Macan S,2.9L V6 Twin Turbo,2894.0,375.0,259.0,4.8,75000.0,petrol,5.0,520.0
PORSCHE,Macan GTS,2.9L V6 Twin Turbo,2894.0,434.0,272.0,4.5,85000.0,petrol,5.0,550.0
PORSCHE,Macan T,2.0L I4 Turbo,1984.0,261.0,232.0,6.2,65000.0,petrol,5.0,400.0
PORSCHE,911 Carrera,3.0L Flat-6 Twin Turbo,2981.0,379.0,293.0,4.2,110000.0,petrol,4.0,450.0
PORSCHE,911 Carrera S,3.0L Twin-Turbo Flat-6,2981.0,443.0,308.0,3.5,131300.0,petrol,4.0,528.0
PORSCHE,911 Carrera 4,3.0L Twin-Turbo Flat-6,2981.0,379.0,293.0,4.2,106500.0,petrol,4.0,450.0
PORSCHE,911 Carrera 4S,3.0L Twin-Turbo Flat-6,2981.0,443.0,306.0,3.4,113300.0,petrol,4.0,528.0
PORSCHE,911 Targa 4,3.0L Twin-Turbo Flat-6,2981.0,379.0,289.0,4.4,121300.0,petrol,4.0,450.0
PORSCHE,911 Turbo,3.8L Twin-Turbo Flat-6,3745.0,572.0,320.0,2.7,197200.0,petrol,4.0,750.0
PORSCHE,911 Turbo S,3.8L Twin-Turbo Flat-6,3745.0,640.0,330.0,2.6,230400.0,petrol,4.0,800.0
PORSCHE,911 GT3,4.0L Naturally Aspirated Flat-6,3996.0,502.0,318.0,3.4,161100.0,petrol,2.0,469.0
PORSCHE,911 GT3 RS,4.0L Naturally Aspirated Flat-6,3996.0,518.0,296.0,3.2,241300.0,petrol,2.0,465.0
PORSCHE,911 Dakar,3.0L Twin-Turbo Flat-6,2981.0,473.0,240.0,3.4,222000.0,petrol,2.0,570.0
PORSCHE,Taycan,Dual Electric Motors,79.2,402.0,230.0,5.4,86700.0,electric,4.0,344.0
PORSCHE,Taycan 4S,Dual Electric Motors,79.2,522.0,250.0,4.0,103800.0,electric,4.0,640.0
PORSCHE,Taycan Turbo,Dual Electric Motors,93.4,670.0,260.0,3.2,150900.0,electric,4.0,850.0
PORSCHE,Taycan Turbo S,Dual Electric Motors,93.4,750.0,260.0,2.8,185000.0,electric,4.0,1050.0
PORSCHE,Taycan GTS,Dual Electric Motors,93.4,590.0,250.0,3.5,132750.0,electric,4.0,850.0
PORSCHE,Taycan Cross Turismo,Dual Electric Motors,93.4,469.0,220.0,4.8,97700.0,electric,5.0,500.0
PORSCHE,Taycan Sport Turismo,Dual Electric Motors,79.2,509.0,240.0,4.1,104000.0,electric,5.0,650.0
PORSCHE,718 Cayman,2.0L Turbocharged Flat-4,1988.0,300.0,275.0,4.9,63400.0,petrol,2.0,380.0
PORSCHE,718 Cayman S,2.5L Turbocharged Flat-4,2497.0,350.0,285.0,4.4,75400.0,petrol,2.0,420.0
PORSCHE,718 Cayman GT4,4.0L Naturally Aspirated Flat-6,3995.0,414.0,302.0,4.2,100200.0,petrol,2.0,420.0
PORSCHE,718 Cayman GT4 RS,4.0L Naturally Aspirated Flat-6,3996.0,493.0,315.0,3.2,141700.0,petrol,2.0,450.0
PORSCHE,718 Boxster,2.0L Turbo Flat-4,1988.0,300.0,275.0,4.9,65500.0,petrol,2.0,380.0
PORSCHE,718 Boxster T,2.0L Turbo Flat-4,1988.0,300.0,275.0,4.7,69600.0,petrol,2.0,380.0
PORSCHE,718 Boxster GTS,4.0L Naturally Aspirated Flat-6,3995.0,394.0,293.0,4.3,90300.0,petrol,2.0,430.0
PORSCHE,718 Spyder,4.0L Naturally Aspirated Flat-6,3995.0,414.0,301.0,4.1,98300.0,petrol,2.0,420.0
PORSCHE,Panamera Base,2.9L Twin-Turbo V6,2894.0,325.0,265.0,5.6,92300.0,petrol,4.0,450.0
PORSCHE,Panamera 4 E-Hybrid,2.9L Twin-Turbo V6 + Electric Motor,2894.0,462.0,280.0,4.4,113300.0,hybrid,4.0,700.0
PORSCHE,Panamera 4 Sport Turismo,2.9L Twin-Turbo V6,2894.0,325.0,265.0,5.5,101400.0,petrol,4.0,450.0
PORSCHE,Panamera Turbo S E-Hybrid Sport Turismo,4.0L Twin-Turbo V8 + Electric Motor,3996.0,690.0,315.0,3.2,200200.0,hybrid,4.0,870.0
PORSCHE,Panamera 4S E-Hybrid Executive,2.9L Twin-Turbo V6 + Electric Motor,2894.0,560.0,295.0,3.7,128900.0,hybrid,4.0,750.0
PORSCHE,Panamera Platinum Edition,2.9L Twin-Turbo V6,2894.0,325.0,265.0,5.6,98300.0,petrol,4.0,450.0
PORSCHE,Panamera GTS Sport Turismo,4.0L Twin-Turbo V8,3996.0,473.0,300.0,3.9,136900.0,petrol,4.0,620.0
PORSCHE,Panamera Turbo Executive,4.0L Twin-Turbo V8,3996.0,550.0,306.0,3.8,175200.0,petrol,4.0,770.0
PORSCHE,Panamera Turbo S Exclusive Series,4.0L Twin-Turbo V8,3996.0,570.0,310.0,3.8,290000.0,petrol,4.0,800.0
PORSCHE,Panamera 4S ,2.9L Twin-Turbo V6,2894.0,443.0,289.0,4.1,105000.0,petrol,4.0,550.0
PORSCHE,Macan Base,2.0L Turbo Inline-4,1984.0,265.0,232.0,6.4,58000.0,petrol,5.0,400.0
PORSCHE,Macan T,2.0L Turbo Inline-4,1984.0,265.0,233.0,6.2,63000.0,petrol,5.0,400.0
PORSCHE,Macan S,2.9L Twin-Turbo V6,2894.0,375.0,259.0,4.6,70400.0,petrol,5.0,520.0
PORSCHE,Macan GTS,2.9L Twin-Turbo V6,2894.0,434.0,272.0,4.3,82900.0,petrol,5.0,550.0
PORSCHE,Macan EV ,Dual Electric Motors,95.0,603.0,240.0,4.0,85000.0,electric,5.0,750.0
PORSCHE,Cayenne Base,3.0L Turbocharged V6,2995.0,335.0,245.0,5.9,72200.0,petrol,5.0,450.0
PORSCHE,Cayenne E-Hybrid,3.0L V6 + Electric Motor,2995.0,455.0,253.0,4.8,91000.0,hybrid,5.0,700.0
PORSCHE,Cayenne S Coupe,2.9L Twin-Turbo V6,2894.0,434.0,263.0,4.7,94300.0,petrol,4.0,550.0
PORSCHE,Cayenne Turbo GT,4.0L Twin-Turbo V8,3996.0,631.0,300.0,3.3,182150.0,petrol,4.0,850.0
PORSCHE,Cayenne Platinum Edition,3.0L Turbocharged V6,2995.0,335.0,245.0,5.8,79000.0,petrol,5.0,450.0
PORSCHE,Cayenne Turbo S E-Hybrid Coupe,4.0L Twin-Turbo V8 + Electric Motor,3996.0,670.0,295.0,3.6,167800.0,hybrid,4.0,900.0
PORSCHE,Cayenne GTS Coupe,4.0L Twin-Turbo V8,3996.0,453.0,270.0,4.5,111200.0,petrol,4.0,620.0
PORSCHE,Cayenne Diesel (Regional Markets),3.0L Turbo Diesel V6,2967.0,262.0,221.0,7.3,69000.0,diesel,5.0,580.0
PORSCHE,Cayenne S Hybrid,3.0L V6 + Electric Motor,2995.0,380.0,242.0,6.5,85500.0,hybrid,5.0,580.0
PORSCHE,Cayenne Coupe Turbo E-Hybrid,4.0L Twin-Turbo V8 + Electric Motor,3996.0,728.0,295.0,3.6,182900.0,hybrid,4.0,950.0
PORSCHE,Taycan Base,Dual Electric Motors,79.2,321.0,230.0,5.4,86700.0,electric,4.0,345.0
CADILLAC,CT4,2.0L Turbo Inline-4 Gasoline,2000.0,237.0,250.0,6.0,34395.0,petrol,5.0,350.0
CADILLAC,CT4-V,2.7L Turbo Inline-4 Gasoline,2700.0,325.0,260.0,4.9,46595.0,petrol,5.0,500.0
CADILLAC,CT5,2.0L Turbo Inline-4 Gasoline,2000.0,237.0,240.0,6.6,38195.0,petrol,5.0,350.0
CADILLAC,CT5-V,3.0L Twin-Turbo V6 Gasoline,3000.0,360.0,250.0,4.6,50995.0,petrol,5.0,550.0
PORSCHE,Taycan Cross Turismo 4,Dual Electric Motors,93.4,375.0,240.0,5.1,94800.0,electric,4.0,500.0
PORSCHE,Taycan Cross Turismo GTS,Dual Electric Motors,93.4,590.0,250.0,3.8,139400.0,electric,4.0,620.0
PORSCHE,Taycan Sport Turismo Base,Dual Electric Motors,79.2,375.0,230.0,5.4,90500.0,electric,4.0,500.0
PORSCHE,Taycan Sport Turismo GTS,Dual Electric Motors,93.4,590.0,250.0,3.7,136700.0,electric,4.0,620.0
PORSCHE,Taycan Turbo S Cross Turismo,Dual Electric Motors,93.4,750.0,260.0,2.9,190000.0,electric,4.0,1050.0
PORSCHE,911 Carrera Base,3.0L Twin-Turbo Flat-6,2981.0,379.0,293.0,4.2,106100.0,petrol,4.0,450.0
PORSCHE,911 Carrera S Cabriolet,3.0L Twin-Turbo Flat-6,2981.0,443.0,304.0,3.9,129900.0,petrol,4.0,530.0
PORSCHE,911 Carrera 4,3.0L Twin-Turbo Flat-6,2981.0,379.0,293.0,4.4,113300.0,petrol,4.0,450.0
PORSCHE,911 Carrera 4 GTS,3.0L Twin-Turbo Flat-6,2981.0,473.0,311.0,3.3,137000.0,petrol,4.0,570.0
PORSCHE,911 Targa 4 GTS,3.0L Twin-Turbo Flat-6,2981.0,473.0,307.0,3.5,157300.0,petrol,4.0,570.0
PORSCHE,911 Turbo Cabriolet,3.8L Twin-Turbo Flat-6,3745.0,572.0,320.0,2.9,184100.0,petrol,4.0,750.0
PORSCHE,911 Turbo S Coupe,3.8L Twin-Turbo Flat-6,3745.0,640.0,330.0,2.7,207000.0,petrol,4.0,800.0
PORSCHE,911 GT3 Touring,4.0L Naturally Aspirated Flat-6,3996.0,502.0,318.0,3.9,170000.0,petrol,2.0,470.0
PORSCHE,911 GT3 RS Clubsport,4.0L Naturally Aspirated Flat-6,3996.0,525.0,296.0,3.2,223800.0,petrol,2.0,465.0
PORSCHE,911 Dakar Limited Edition,3.0L Twin-Turbo Flat-6,2981.0,473.0,240.0,3.4,222000.0,petrol,4.0,570.0
PORSCHE,911 Carrera GTS Lightweight,3.0L Twin-Turbo Flat-6,2981.0,473.0,311.0,3.2,145300.0,petrol,4.0,570.0
PORSCHE,911 Targa 4 Lightweight,3.0L Twin-Turbo Flat-6,2981.0,379.0,289.0,4.3,135500.0,petrol,4.0,450.0
PORSCHE,911 Turbo Exclusive Series,3.8L Twin-Turbo Flat-6,3745.0,607.0,330.0,2.9,258000.0,petrol,4.0,750.0
PORSCHE,911 GT2 RS,3.8L Twin-Turbo Flat-6,3745.0,700.0,340.0,2.8,293200.0,petrol,2.0,750.0
PORSCHE,911 GT3 Cup,4.0L Naturally Aspirated Flat-6,3996.0,510.0,290.0,3.4,245000.0,petrol,1.0,470.0
PORSCHE,911 GT4 RS,4.0L Naturally Aspirated Flat-6,3996.0,500.0,315.0,3.4,222000.0,petrol,2.0,450.0
PORSCHE,911 RSR (Motorsport Edition),4.2L Naturally Aspirated Flat-6,4194.0,515.0,296.0,3.1,750000.0,petrol,1.0,480.0
PORSCHE,911 Sport Turismo,3.0L Twin-Turbo Flat-6,2981.0,379.0,293.0,4.4,116000.0,petrol,4.0,450.0
PORSCHE,911 Turbo Cabriolet Lightweight,3.8L Twin-Turbo Flat-6,3745.0,572.0,318.0,3.0,191300.0,petrol,4.0,750.0
PORSCHE,911 Dakar Sport,3.0L Twin-Turbo Flat-6,2981.0,473.0,240.0,3.5,233000.0,petrol,4.0,570.0
TATA MOTORS,Tiago,1.2L Revotron 3-cylinder Petrol,1199.0,86.0,170.0,13.0,8200.0,petrol,5.0,113.0
